# Fable TLC RTTI class dump (Steam Fable.exe, image base 0x400000)
# Source: fabletlcmod.com forum th=9198 (EternalNoob, 2012), goto=66825
# 2090 classes. Columns: VFT<TAB>flags<TAB>class<TAB>bases<TAB>rtti_kind
# rtti_kind: SI single / MI multiple / VI virtual inheritance (MSVC RTTI).
VFT	flags	class	bases	rtti_kind
0123412C	0025	CSpecialAbilitiesMultiStrikeDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123439C	0025	CSpecialAbilitiesPhysicalShieldDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01234674	0025	CSpecialAbilitiesSummonSpellDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01234814	0025	CSpecialAbilitiesThunderLightningStormDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123453C	0025	CSpecialAbilitiesTurncoatSpellDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
012348E4	0025	CSpecialAbilitiesUnholyPowerDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123300C	0025	CSpecialEffectsDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123A88C	0025	CSpotLightDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123117C	0002	CStartupDefinitionManager	CDefinitionManager, CResourceList, CFailedAllocationHandler	SI
0129B988	0001	CStateBlockFunctionAlphaAdditive	CStateBlockFunctionBase	SI
0129B998	0001	CStateBlockFunctionAlphaBoolean	CStateBlockFunctionBase	SI
0129B990	0001	CStateBlockFunctionAlphaMultiply	CStateBlockFunctionBase	SI
0129B9A0	0001	CStateBlockFunctionAlphaText	CStateBlockFunctionBase	SI
0129B980	0001	CStateBlockFunctionBase		SI
0129B9A8	0001	CStateBlockFunctionSold	CStateBlockFunctionBase	SI
0129EAD4	0006	CStaticFontBank	CFontBank, CBaseClassNonCopyable, CBaseClass	SI
012A1EE4	0020	CStaticMapBankFile	CBankFileAsync, CBankFile, CBaseClassNonCopyable, CBaseClass	SI
012A1F3C	0004	CStaticMapBankStateBlock	CBankStateBlock	SI
0123AB1C	0025	CStealthDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123B74C	0025	CStockItemDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0129AB54	0006	CStreamingFontBank	CFontBank, CBaseClassNonCopyable, CBaseClass	SI
0129D594	0004	CStreamingFontBankStateBlock	CBankStateBlock	SI
0129D5CC	0020	CStreamingFontDataBank	CBankFileAsync, CBankFile, CBaseClassNonCopyable, CBaseClass	SI
0129D5B4	0004	CStreamingFontDataBankEntry	CBaseClassNonCopyable, CBaseClass	SI
0122D874	0001	CStringParser	CBaseClass	SI
01231D54	0025	CSubDefClassBase	CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
012384BC	0001	CSubtitleRenderer	CBaseClassNonCopyable, CBaseClass	SI
0123C3A4	0025	CSummonableCreatureDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123DEB4	0025	CSummonDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01232AEC	0025	CSummonerDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0122F84C	0001	CSurface		SI
01301CF0	0001	CSurfaceCompositor	CBaseClass	SI
0129D440	0005	CSuspendableProcessMicrothread	CASuspendableProcess, CBaseClassNonCopyable, CBaseClass	SI
0129C158	0001	CSymbolMap	CBaseClassNonCopyable, CBaseClass	SI
0129C998	0002	CSystemFont	CInitBaseClass, CBaseClass	SI
0129AFFC	0002	CSystemManager	CInitBaseClass, CBaseClass	SI
01232D84	0025	CTargetingDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
012323B4	0025	CTattooDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123CA8C	0025	CTavernDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0124258C	0025	CTavernGameCardBaseDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123D44C	0025	CTavernGameCoinBaseDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123D4D4	0025	CTavernGameCoinGolfDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
012424BC	0025	CTavernGameDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01242524	0025	CTavernGameShoveHaPennyDef	CTavernGameDef, CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01241A4C	0025	CTavernGameSpotTheAdditionDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123C964	0025	CTavernTableDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0129C75C	0001	CTBaseSingleton<CCodeSectionManager>		SI
0129C44C	0001	CTBaseSingleton<CConsole>		SI
0123156C	0001	CTBaseSingleton<CEngineManager>		SI
0129B414	0001	CTBaseSingleton<CFileInstaller>		SI
01238C50	0001	CTBaseSingleton<CSkeletalMorphResourceManager>		SI
0129AFEC	0001	CTBaseSingletonNoDefaultAlloc<CDriveManager>		SI
01231720	0001	CTBaseSingletonNoDefaultAlloc<CPlayerGui>		SI
01239370	0001	CTBaseSingletonNoDefaultAlloc<CQuestManager>		SI
0123E764	0028	CTCAbsorbHits	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F674	0032	CTCActionUseAcceptBoast	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012404AC	0032	CTCActionUseActivateQuest	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F09C	0032	CTCActionUseBase	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F784	0032	CTCActionUseBed	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F564	0032	CTCActionUseBlowHorn	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01266A7C	0032	CTCActionUseBuyHouse	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126679C	0032	CTCActionUseBuyOrSteal	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012400F4	0032	CTCActionUseChest	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F80C	0032	CTCActionUseKickChicken	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F454	0032	CTCActionUseMapTable	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F2BC	0032	CTCActionUsePickUp	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F344	0032	CTCActionUsePickUpGenericBox	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F3CC	0032	CTCActionUsePutInInventory	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F234	0032	CTCActionUseReadable	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126664C	0028	CTCActionUseScriptedHook	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F4DC	0032	CTCActionUseSearch	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F1AC	0032	CTCActionUseSign	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F6FC	0032	CTCActionUseStartExtrapolationMorph	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FF7C	0032	CTCActionUseSwitch	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F124	0032	CTCActionUseTorch	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012405AC	0032	CTCActionUseWallMount	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F5EC	0032	CTCActionUseWindow	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01271F7C	0031	CTCActivationReceptorBase	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01242084	0031	CTCActivationReceptorChest	CTCActivationReceptorBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012413EC	0031	CTCActivationReceptorCreatureGenerator	CTCActivationReceptorBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0124146C	0031	CTCActivationReceptorDoor	CTCActivationReceptorBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012414EC	0031	CTCActivationReceptorRelay	CTCActivationReceptorBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123BBAC	0031	CTCActivationTrigger	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126FF2C	0028	CTCAICreatureWillPowerIndicator	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126D07C	0028	CTCAIScratchpad	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01241C8C	0028	CTCAISummon	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123DC0C	0028	CTCAmbientBird	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012417E4	0028	CTCAnimatingObject	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01265024	0031	CTCAnimationBase	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012650A4	0032	CTCAnimationComplex	CTCAnimationBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01265B34	0030	CTCAppearanceMorphBase	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126CF2C	0028	CTCAssassinRush	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01270484	0028	CTCAtmosPlayer	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123EFAC	0028	CTCAvoidRegionExit	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126A534	0028	CTCBandit	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0125BE0C	0028	CTCBase	CBaseClassNonCopyable, CBaseClass	SI
0126CBFC	0028	CTCBattleCharge	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01268964	0028	CTCBed	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126BB94	0028	CTCBerserk	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01270624	0029	CTCBetting	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123B6C4	0028	CTCBlacksmiths	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126B314	0028	CTCBoastingArea	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126B3AC	0028	CTCBoastingCrowdControl	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0124346C	0028	CTCBoastingPodium	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126B24C	0028	CTCBoastingPosition	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0124DCFC	0028	CTCBoastUI	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126B76C	0028	CTCBob	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126D494	0028	CTCBoss	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126C49C	0028	CTCBulletTime	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126EFBC	0028	CTCBurntEffect	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0125D6A4	0028	CTCBuyableHouse	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01270394	0028	CTCCameraCollision	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123ECBC	0036	CTCCameraPointBuilding	CTCCameraPointDefinitionBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123B23C	0036	CTCCameraPointDead	CTCCameraPointShapeActivationBase, CTCCameraPointDefinitionBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01269B04	0036	CTCCameraPointDefinitionBase	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123B03C	0036	CTCCameraPointFixedDolly	CTCCameraPointShapeActivationBase, CTCCameraPointDefinitionBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123AF8C	0036	CTCCameraPointFixedPoint	CTCCameraPointShapeActivationBase, CTCCameraPointDefinitionBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123B194	0036	CTCCameraPointGeneralCase	CTCCameraPointShapeActivationBase, CTCCameraPointDefinitionBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01269C84	0036	CTCCameraPointScripted	CTCCameraPointDefinitionBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126A0BC	0036	CTCCameraPointScriptedSpline	CTCCameraPointDefinitionBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123AEDC	0036	CTCCameraPointShapeActivationBase	CTCCameraPointDefinitionBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123B0E4	0036	CTCCameraPointTrack	CTCCameraPointShapeActivationBase, CTCCameraPointDefinitionBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01240B1C	0033	CTCCarriedActionUseAbility	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0124036C	0033	CTCCarriedActionUseActivateQuest	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F894	0033	CTCCarriedActionUseBase	CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F9A4	0033	CTCCarriedActionUseDrop	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FA2C	0033	CTCCarriedActionUseDropGenericBox	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0124026C	0033	CTCCarriedActionUseExpression	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FD5C	0033	CTCCarriedActionUseFish	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01240634	0033	CTCCarriedActionUseFishingRod	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FCD4	0033	CTCCarriedActionUseFood	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FAB4	0033	CTCCarriedActionUseGive	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FB3C	0033	CTCCarriedActionUseGiveBeer	CTCCarriedActionUseGive, CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FBC4	0033	CTCCarriedActionUseGoldBag	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123F91C	0033	CTCCarriedActionUseLamp	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FDE4	0033	CTCCarriedActionUsePotion	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01240834	0033	CTCCarriedActionUseRead	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FC4C	0033	CTCCarriedActionUseShow	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012406BC	0033	CTCCarriedActionUseSpade	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FEF4	0033	CTCCarriedActionUseTrophy	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123FE6C	0033	CTCCarriedActionUseWallMount	CTCCarriedActionUseBase, CTCActionUseBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123B35C	0028	CTCCarryable	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012433F4	0028	CTCCarrying	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126957C	0028	CTCChest	CTCContainerRewardHero, CTCContainer, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01267044	0028	CTCClock	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126724C	0028	CTCCombat	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123C5AC	0028	CTCCombatLeader	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012693AC	0028	CTCContainer	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01269424	0028	CTCContainerRewardHero	CTCContainer, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0125B264	0028	CTCCoopSpirit	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126DA14	0028	CTCCrateStack	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123EAD4	0028	CTCCreatedEntity	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012665CC	0028	CTCCreatureExpression	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126FB04	0028	CTCCreatureFlyInCircles	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126F9F4	0028	CTCCreatureFlyOnSpline	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01268C24	0028	CTCCreatureGenerator	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126EB3C	0028	CTCCreatureGeneratorCreator	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0124326C	0032	CTCCreatureGroup	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126B5DC	0032	CTCCreatureGroupBoastingCrowd	CTCCreatureGroup, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012432F4	0032	CTCCreatureGroupTag	CTCCreatureGroup, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012436CC	0028	CTCCreatureHitNotification	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123BDCC	0028	CTCCreatureHive	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0124156C	0032	CTCCreatureItemLevitationBase	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0124167C	0032	CTCCreatureItemLevitationHero	CTCCreatureItemLevitationBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012415F4	0032	CTCCreatureItemLevitationNymph	CTCCreatureItemLevitationBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012673CC	0012	CTCCreatureModeManager	:CModeBase	SI
0125EC24	0028	CTCCreatureNavigation	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0125BC3C	0028	CTCCreatureOpinionOfHero	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126F13C	0028	CTCCreatureTintEffect	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
012705AC	0028	CTCCreditsUI	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123AB9C	0028	CTCCupboard	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01264D3C	0028	CTCDayOrNightOnlySupport	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123EC3C	0030	CTCDCameraPoint	CTCDriverBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0127040C	0028	CTCDeadShotInThingTracker	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01240534	0028	CTCDecapitation	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126A6A4	0031	CTCDegradableBarrier	CTCDegradableBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01287F2C	0031	CTCDegradableBase	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123E16C	0028	CTCDestroyThingOnActionFinish	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0123E20C	0028	CTCDestroyThingOnSpecialAbilityFinish	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0126ABFC	0030	CTCDExperienceOrb	CTCDriverBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01242A54	0030	CTCDExplosion	CTCDriverBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01242B4C	0030	CTCDExplosiveTrail	CTCDriverBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
01242004	0030	CTCDHeroSuit	CTCDriverBase, CTCBase, CBaseClassNonCopyable, CBaseClass	SI
0124093C	0028	CTCDiceGame	CTCBase, CBaseClassNonCopyable, CBaseClass	SI
